sample_id,company_f1,date_em,total_em,address_f1,time_s
X00016469670,1.0,1.0,1.0,0.3157894736842105,11.213376998901367
X00016469671,1.0,1.0,1.0,0.35294117647058826,5.434126138687134
X51005200931,0.6666666666666666,1.0,1.0,0.47058823529411764,8.795985698699951
X51005230605,0.0,1.0,0.0,0.0,3.097278356552124
X51005230616,0.0,0.0,0.0,0.0,3.7066452503204346
X51005230621,0.0,1.0,0.0,0.0,12.484924793243408
X51005230648,0.25,1.0,1.0,0.5,15.1228346824646
X51005230657,0.0,0.0,0.0,0.0,23.71410846710205
X51005230659,1.0,1.0,0.0,0.380952380952381,12.656262159347534
X51005268275,1.0,1.0,1.0,0.5217391304347826,15.471384763717651
X51005268408,0.0,1.0,0.0,0.5454545454545455,14.620650053024292
X51005288570,0.0,1.0,0.0,0.0,12.124422788619995
X51005301666,1.0,1.0,1.0,0.5217391304347826,8.942321300506592
X51005337867,0.0,0.0,0.0,0.0,14.34062933921814
X51005337877,1.0,1.0,1.0,0.7058823529411765,13.598031759262085
X51005361906,0.0,1.0,1.0,0.0,18.49646496772766
X51005361908,0.0,1.0,1.0,0.0,14.855695724487305
X51005361912,0.0,1.0,0.0,0.0,16.655824661254883
X51005361923,1.0,0.0,0.0,0.33333333333333337,13.82289171218872
X51005365187,0.0,1.0,1.0,0.5333333333333333,16.718544960021973
